day: 593, portfolio value: 1389.28
day: 596, portfolio value: 1382.23
day: 599, portfolio value: 1405.42
day: 602, portfolio value: 1353.85
day: 605, portfolio value: 1276.06
day: 608, portfolio value: 1326.71
day: 611, portfolio value: 1352.45
day: 614, portfolio value: 1334.57
day: 617, portfolio value: 1382.56
day: 620, portfolio value: 1387.17
day: 623, portfolio value: 1455.77
day: 626, portfolio value: 1466.39
day: 629, portfolio value: 1482.86
day: 632, portfolio value: 1529.21
day: 635, portfolio value: 1445.64
day: 638, portfolio value: 1505.16
day: 641, portfolio value: 1541.74
day: 644, portfolio value: 1607.79
day: 647, portfolio value: 1613.77
day: 650, portfolio value: 1598.46
day: 653, portfolio value: 1607.23
day: 656, portfolio value: 1646.05
day: 659, portfolio value: 1655.14
day: 662, portfolio value: 1629.86
day: 665, portfolio value: 1550.06
day: 668, portfolio value: 1537.95
day: 671, portfolio value: 1461.48
day: 674, portfolio value: 1417.11
day: 677, portfolio value: 1387.2
day: 680, portfolio value: 1342.72
day: 683, portfolio value: 1426.26
day: 686, portfolio value: 1533.87
day: 689, portfolio value: 1567.73
day: 692, portfolio value: 1567.2
day: 695, portfolio value: 1541.2
day: 698, portfolio value: 1482.47
day: 701, portfolio value: 1419.73
day: 704, portfolio value: 1510.15
day: 707, portfolio value: 1535.81
day: 710, portfolio value: 1560.41
day: 713, portfolio value: 1583.17
day: 716, portfolio value: 1579.19
day: 719, portfolio value: 1559.26
day: 722, portfolio value: 1602.74
day: 725, portfolio value: 1679.83
day: 728, portfolio value: 1655.36
day: 731, portfolio value: 1677.84
day: 734, portfolio value: 1650.25
day: 737, portfolio value: 1664.42
day: 740, portfolio value: 1628.41
day: 743, portfolio value: 1685.52
day: 746, portfolio value: 1778.49
day: 749, portfolio value: 1791.24
