Date,TSLA,CRM,HPE,DELL,AMZN,GOOGL,ABNB,SQ,ADBE,FTNT,DDOG,LYFT,CRWD,AI,TEAM,QCOM,INTU,AMD,IBM,PANW,MDB,TXN,NFLX,KLAC,SNOW,AAPL,NOW,CFLT,AVGO,ASAN,ORCL,PLTR,NVDA,META,MSFT,UBER
2021-11-19 00:00:00+00:00,379.0199890136719,301.1700134277344,14.390000343322754,55.02000045776367,183.82850646972656,148.92649841308594,196.4199981689453,225.13999938964844,688.3699951171875,68.50199890136719,192.60000610351562,47.5099983215332,257.6300048828125,39.90999984741211,429.8599853515625,185.0,692.3400268554688,155.41000366210938,116.05000305175781,176.77999877929688,569.77001953125,195.16000366210938,678.7999877929688,422.3800048828125,392.1499938964844,160.5500030517578,675.969970703125,79.75,56.87200164794922,137.19000244140625,93.97000122070312,21.40999984741211,32.98500061035156,345.29998779296875,343.1099853515625,44.22999954223633
2021-11-22 00:00:00+00:00,385.6233215332031,296.8399963378906,14.770000457763672,55.130001068115234,178.6284942626953,146.302001953125,181.72999572753906,211.30999755859375,673.5700073242188,66.16000366210938,180.75,45.47999954223633,239.63999938964844,37.58000183105469,403.0,181.39999389648438,661.6300048828125,152.52000427246094,116.47000122070312,179.98666381835938,515.8699951171875,192.5,659.2000122070312,407.8999938964844,355.9599914550781,161.02000427246094,656.3800048828125,77.08999633789062,55.327999114990234,106.08999633789062,94.61000061035156,20.649999618530273,31.95599937438965,341.010009765625,339.8299865722656,42.599998474121094
2021-11-23 00:00:00+00:00,369.6766662597656,291.4200134277344,14.8100004196167,54.66999816894531,179.0019989013672,145.78199768066406,178.27000427246094,210.5500030517578,665.1599731445312,65.49600219726562,179.4199981689453,45.66999816894531,230.5800018310547,37.279998779296875,389.510009765625,180.94000244140625,670.6300048828125,149.9199981689453,116.79000091552734,177.67333984375,498.8599853515625,192.63999938964844,654.0599975585938,411.9800109863281,343.57000732421875,161.41000366210938,636.9099731445312,75.62000274658203,55.512001037597656,101.41999816894531,92.94000244140625,20.59000015258789,31.746000289916992,337.25,337.67999267578125,42.68000030517578
2021-11-24 00:00:00+00:00,372.0,289.1700134277344,14.859999656677246,57.29999923706055,179.02049255371094,146.1199951171875,179.88999938964844,215.64999389648438,668.3200073242188,66.64800262451172,180.33999633789062,44.52000045776367,230.77000427246094,38.029998779296875,393.07000732421875,180.7100067138672,684.0,157.8000030517578,116.7300033569336,183.24000549316406,507.17999267578125,193.60000610351562,658.2899780273438,413.29998779296875,355.3599853515625,161.94000244140625,649.3099975585938,79.79000091552734,55.87300109863281,106.80000305175781,93.58000183105469,21.110000610351562,32.67399978637695,341.05999755859375,337.9100036621094,42.08000183105469
2021-11-26 00:00:00+00:00,360.6400146484375,284.2099914550781,14.430000305175781,56.18000030517578,175.22799682617188,142.18299865722656,173.86000061035156,212.0800018310547,662.0999755859375,65.47799682617188,181.25,42.400001525878906,232.63999938964844,38.380001068115234,391.5400085449219,175.74000549316406,666.9099731445312,154.80999755859375,115.80999755859375,177.74667358398438,518.6099853515625,188.25999450683594,665.6400146484375,398.9599914550781,362.6000061035156,156.80999755859375,649.5499877929688,81.04000091552734,54.659000396728516,106.0199966430664,92.33000183105469,21.030000686645508,31.503000259399414,333.1199951171875,329.67999267578125,40.52000045776367
2021-11-29 00:00:00+00:00,378.9966735839844,296.739990234375,14.609999656677246,57.56999969482422,178.07850646972656,145.53050231933594,180.0800018310547,212.8699951171875,687.489990234375,68.66000366210938,182.99000549316406,41.81999969482422,224.57000732421875,37.849998474121094,397.69000244140625,183.74000549316406,694.6599731445312,161.91000366210938,118.5,183.72666931152344,525.97998046875,194.3800048828125,663.8400268554688,413.8399963378906,364.7799987792969,160.24000549316406,672.8200073242188,84.44000244140625,56.433998107910156,108.91000366210938,92.94000244140625,21.06999969482422,33.375999450683594,338.0299987792969,336.6300048828125,39.70000076293945
2021-11-30 00:00:00+00:00,381.586669921875,284.9599914550781,14.350000381469727,56.470001220703125,175.35350036621094,141.8975067138672,172.5399932861328,208.3300018310547,669.8499755859375,66.4219970703125,178.2899932861328,40.61000061035156,217.13999938964844,36.959999084472656,376.32000732421875,180.55999755859375,652.2999877929688,158.3699951171875,117.0999984741211,182.31333923339844,498.1000061035156,192.3699951171875,641.9000244140625,408.1300048828125,340.1499938964844,165.3000030517578,647.7000122070312,78.0199966430664,55.36800003051758,103.94999694824219,90.73999786376953,20.649999618530273,32.67599868774414,324.4599914550781,330.5899963378906,38.0
2021-12-01 00:00:00+00:00,365.0,251.5,14.210000038146973,55.70000076293945,172.18600463867188,141.05149841308594,163.0800018310547,194.5,657.4099731445312,61.051998138427734,164.52999877929688,38.220001220703125,201.5,33.83000183105469,357.2099914550781,175.6300048828125,663.8900146484375,149.11000061035156,116.91999816894531,176.05332946777344,456.8900146484375,191.75999450683594,617.77001953125,412.17999267578125,311.0,164.77000427246094,599.5700073242188,70.55999755859375,55.47600173950195,89.95999908447266,89.75,19.3799991607666,31.434999465942383,310.6000061035156,330.0799865722656,36.02000045776367
2021-12-02 00:00:00+00:00,361.5333251953125,261.20001220703125,14.989999771118164,57.150001525878906,171.8679962158203,142.96600341796875,169.60000610351562,192.14999389648438,671.8800048828125,62.62200164794922,169.44000244140625,41.150001525878906,209.35000610351562,30.040000915527344,368.94000244140625,177.02999877929688,672.1199951171875,150.67999267578125,116.9000015258789,178.43333435058594,481.5899963378906,193.5800018310547,616.469970703125,402.5299987792969,360.2799987792969,163.75999450683594,623.3699951171875,77.01000213623047,55.244998931884766,91.0,89.98999786376953,19.690000534057617,32.125999450683594,310.3900146484375,329.489990234375,38.119998931884766
2021-12-03 00:00:00+00:00,338.3233337402344,258.32000732421875,15.170000076293945,58.47999954223633,169.489501953125,142.00149536132812,166.75,181.30999755859375,616.530029296875,60.56399917602539,164.22000122070312,39.470001220703125,197.0500030517578,29.75,349.5,176.50999450683594,647.9600219726562,144.00999450683594,118.83999633789062,173.6199951171875,450.1600036621094,193.3800048828125,602.1300048828125,400.67999267578125,345.1099853515625,161.83999633789062,613.1099853515625,72.68000030517578,55.8120002746582,66.9800033569336,88.23999786376953,18.979999542236328,30.69300079345703,306.8399963378906,323.010009765625,35.849998474121094
